bas_dd,isu_cd,open,high,low,close,acc_trdvol,acc_trdval,idx_ind_nm
20181112,069500,26890,27220,26850,27160,3967007,107666522715,코스피 200
20181113,069500,26750,27000,26495,26955,7599585,203926099245,코스피 200
20181114,069500,26980,27010,26815,26885,4817862,129645314185,코스피 200
20181115,069500,26860,27180,26765,27155,6805238,183924677725,코스피 200
20181116,069500,27270,27335,27100,27135,4616499,125585541310,코스피 200
20181119,069500,27185,27405,27100,27230,4381832,119300654815,코스피 200
20181120,069500,26940,27090,26885,26960,7740116,208833886390,코스피 200
20181121,069500,26615,26865,26535,26830,5554846,148534465125,코스피 200
20181122,069500,26840,26925,26750,26800,5534204,148332679790,코스피 200
20181123,069500,26790,26865,26515,26630,4833230,128919178400,코스피 200
20181126,069500,26700,27015,26675,26990,5895950,158819808705,코스피 200
20181127,069500,27085,27255,26935,27200,5711703,155153007255,코스피 200
20181128,069500,27295,27375,27155,27365,4850780,132482000835,코스피 200
20181129,069500,27740,27780,27355,27415,3753641,103275584475,코스피 200
20181130,069500,27480,27535,27100,27160,5378880,146596653385,코스피 200
20181203,069500,27550,27705,27375,27635,5526366,152446058375,코스피 200
20181204,069500,27525,27560,27190,27325,7613175,208263239250,코스피 200
20181205,069500,26970,27260,26970,27160,9862732,267774819150,코스피 200
20181206,069500,27025,27035,26705,26755,8971934,240488106175,코스피 200
20181207,069500,26870,26970,26730,26845,7791119,209915628510,코스피 200
20181210,069500,26485,26645,26400,26595,11634496,308630160650,코스피 200
20181211,069500,26635,26660,26445,26530,17682169,469540176240,코스피 200
20181212,069500,26635,26925,26600,26875,12300364,330274938605,코스피 200
20181213,069500,26875,27150,26850,27015,15648201,422422668780,코스피 200
20181214,069500,27000,27010,26460,26585,12092273,322005067645,코스피 200
20181217,069500,26670,26765,26625,26660,9548736,254934008925,코스피 200
20181218,069500,26520,26710,26480,26565,6678127,177511191955,코스피 200
20181219,069500,26635,26785,26580,26740,9217509,246410663770,코스피 200
20181220,069500,26585,26650,26350,26505,9903278,262429481145,코스피 200
20181221,069500,26445,26535,26370,26480,9828279,260306945965,코스피 200
20181224,069500,26435,26505,26330,26490,14226033,376663248519,코스피 200
20181226,069500,26175,26295,25990,26145,6864056,179264446685,코스피 200
20181227,069500,26500,26590,26405,26470,8683053,230262285180,코스피 200
20181228,069500,26535,26700,26535,26580,4337356,115544806580,코스피 200
20190102,069500,26780,26820,26185,26270,4795980,126832040525,코스피 200
20190103,069500,26265,26295,25985,26015,5649255,147638212395,코스피 200
20190104,069500,26005,26250,25935,26215,10281475,268204308845,코스피 200
20190107,069500,26545,26785,26530,26590,5700324,151074200050,코스피 200
20190108,069500,26600,26680,26400,26415,4670564,123854741105,코스피 200
20190109,069500,26525,27045,26525,26960,5263421,141611851690,코스피 200
20190110,069500,26985,27110,26880,26950,5924713,159970129650,코스피 200
20190111,069500,27065,27195,26975,27115,5054162,137003527425,코스피 200
20190114,069500,27060,27090,26855,26880,3546372,95618053240,코스피 200
20190115,069500,26980,27435,26965,27420,4744723,129647115565,코스피 200
20190116,069500,27410,27540,27330,27540,6597164,181576089635,코스피 200
20190117,069500,27600,27720,27500,27600,4845712,133859366085,코스피 200
20190118,069500,27755,27835,27690,27810,5665137,157536023355,코스피 200
20190121,069500,27995,28000,27665,27825,5744245,159861577990,코스피 200
20190122,069500,27850,27895,27585,27685,5147730,142649430840,코스피 200
20190123,069500,27580,27905,27565,27845,4019129,111693216040,코스피 200
20190124,069500,27830,28075,27795,28075,5758414,161287998665,코스피 200
20190125,069500,28160,28605,28125,28585,7131270,203008327670,코스피 200
20190128,069500,28640,28765,28475,28570,7474242,214021619730,코스피 200
20190129,069500,28525,28705,28390,28705,5432101,155262983495,코스피 200
20190130,069500,28690,29055,28660,29055,8394099,242583067255,코스피 200
20190131,069500,29330,29340,29020,29025,7312434,213061529740,코스피 200
20190201,069500,29125,29265,28955,28995,7871448,229161931515,코스피 200
20190207,069500,29160,29195,28915,28995,5408602,157072152140,코스피 200
20190208,069500,28840,28855,28530,28585,6268241,179508694020,코스피 200
20190211,069500,28590,28635,28450,28635,6902867,197211061085,코스피 200
20190212,069500,28640,28860,28590,28790,9605045,276603260490,코스피 200
20190213,069500,28920,28970,28840,28935,4071771,117812506040,코스피 200
20190214,069500,28845,29215,28710,29215,4946913,143423507870,코스피 200
20190215,069500,29090,29090,28710,28830,4185097,120684799480,코스피 200
