ticker,name,feature_complete,exclusion_reason,price_momentum_3m,price_momentum_6m,volatility_20d,liquidity_20d,turnover_rate,drawdown_from_high,price_momentum_3m_norm,price_momentum_6m_norm,volatility_20d_norm,liquidity_20d_norm,turnover_rate_norm,drawdown_from_high_norm,scoring_eligible,composite_score,rank,selected,selection_reason,fallback_stage
105190,ACE 200,True,,29.820986755930722,69.43679361762752,64.49345720641683,46528998213.0,1.7594348047491646,-6.65062006174455,0.8373493975903614,0.8136645962732919,0.3416586478969553,0.7928994082840237,0.8713450292397661,0.17190269378642575,True,0.6884462192615328,21,N,excluded_low_score,
152100,PLUS 200,True,,29.699437434355346,69.31500159651395,64.59489089673583,36927803927.5,1.0563007012252783,-6.687024481134518,0.7951807228915663,0.7950310559006211,0.34096689474742015,0.7396449704142012,0.5263157894736842,0.17284366135046758,True,0.6295681529042525,37,N,excluded_low_score,
379780,RISE 미국S&P500,True,,-1.317570616370367,7.148106413208555,11.373421843939282,6357044466.1,0.7836340999252905,-1.317570616370367,0.24096385542168675,0.37267080745341613,0.7039243965831293,0.2485207100591716,0.23976608187134502,0.03405606336027789,True,0.3170722986366966,125,N,excluded_low_score,
456600,TIME 글로벌AI인공지능액티브,True,,17.3531655225019,17.529474675969546,53.83966978742265,19083951876.0,1.0986989705919876,0.0,0.6024096385542169,0.45962732919254656,0.41431489236947894,0.5680473372781065,0.5497076023391813,0.0,True,0.4749734520858303,80,N,excluded_low_score,
144600,KODEX 은선물(H),True,,-13.303230288294543,39.80060490646353,88.15774927152545,60996334220.0,1.3432590409904608,-38.68828297715549,0.04216867469879518,0.639751552795031,0.1802739194494586,0.834319526627219,0.6842105263157895,1.0,True,0.4612109825117253,84,N,excluded_low_score,
486290,TIGER 미국나스닥100타겟데일리커버드콜,True,,-1.8366958507803566,5.5458917425560195,16.288654238390063,15076196055.25,1.4467861413612895,-1.8366958507803566,0.21686746987951808,0.2670807453416149,0.6704037046033189,0.47928994082840237,0.7368421052631579,0.047474214657313274,True,0.3693620688389837,109,N,excluded_low_score,
371460,TIGER 차이나전기차SOLACTIVE,True,,3.2160423760877688,8.434692741871363,25.253223013625586,9719418412.25,0.5156316961974753,-0.9800362976406518,0.41566265060240964,0.391304347826087,0.6092675212998082,0.3431952662721893,0.07602339181286549,0.025331604874254565,True,0.35596458255045194,113,N,excluded_low_score,
368590,RISE 미국나스닥100,True,,-1.9036032490070465,5.841247780094205,15.091013732216387,6155857935.5,0.7375366839016947,-1.9211505437893517,0.20481927710843373,0.30434782608695654,0.6785713221823607,0.23668639053254437,0.2046783625730994,0.049657167388993395,True,0.2850375582533665,138,N,excluded_low_score,
157450,TIGER 단기통안채,True,,0.5229701095532224,1.0184757296508806,0.3101833587644829,7611063286.75,2.1389630292443798,0.0,0.3373493975903614,0.13664596273291926,0.7793729979512782,0.3076923076923077,0.9590643274853801,0.0,True,0.3875002404187682,105,N,excluded_low_score,
305540,TIGER 2차전지테마,True,,21.438263229307996,31.61764705882353,42.836203065014466,15178799963.75,0.5784196011302716,-6.576200417536537,0.6506024096385542,0.577639751552795,0.4893558648224514,0.4911242603550296,0.10526315789473684,0.16997912317327768,True,0.4853049200855488,77,N,excluded_low_score,
